# <E_L> and var[E_L] for 10 run instances:
#                -----------rw.var.min-----------  ----------var.Eref.min----------  ----------urw.var.min-----------  ------------MAD.min-------------  -------------E.min--------------
#sy--basis---in----------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]--


C   cc-pvtz  01   -37.78131 0.00036 0.436  0.015    -37.80196 0.00021 0.4526 0.0030   -37.80135 0.00035 0.458  0.015    -37.80272 0.00034 0.454  0.014    -37.80937 0.00037 0.5327 0.0059
C   cc-pvtz  02   -37.78304 0.00036 0.4327 0.0047   -37.80159 0.00021 0.4501 0.0029   -37.80001 0.00035 0.4498 0.0062   -37.80306 0.00034 0.4546 0.0062   -37.80936 0.00039 0.5487 0.0093
C   cc-pvtz  03   -37.77759 0.00037 0.4388 0.0066   -37.80189 0.00021 0.4514 0.0034   -37.79919 0.00035 0.4501 0.0064   -37.80269 0.00034 0.4555 0.0094   -37.80954 0.00037 0.5289 0.0047
C   cc-pvtz  04   -37.78551 0.00036 0.4375 0.0091   -37.80179 0.00021 0.4535 0.0039   -37.80108 0.00036 0.459  0.012    -37.80265 0.00034 0.4536 0.0096   -37.80928 0.00037 0.5267 0.0055
C   cc-pvtz  05   -37.79313 0.00035 0.4420 0.0085   -37.80139 0.00021 0.4510 0.0029   -37.80110 0.00035 0.4475 0.0058   -37.80211 0.00034 0.4526 0.0063   -37.80880 0.00037 0.5268 0.0096
C   cc-pvtz  06   -37.79188 0.00035 0.4277 0.0034   -37.79197 0.00022 0.4715 0.0027   -37.80080 0.00035 0.4467 0.0047   -37.80272 0.00035 0.4510 0.0085   -37.80871 0.00037 0.5380 0.0097
C   cc-pvtz  07   -37.79143 0.00035 0.4367 0.0070   -37.80113 0.00021 0.4539 0.0044   -37.80145 0.00035 0.4447 0.0043   -37.80247 0.00034 0.4459 0.0058   -37.80878 0.00036 0.5165 0.0061
C   cc-pvtz  08   -37.78416 0.00036 0.4342 0.0071   -37.79981 0.00022 0.471  0.012    -37.80074 0.00035 0.4521 0.0084   -37.80299 0.00034 0.4527 0.0073   -37.80933 0.00039 0.565  0.032 
C   cc-pvtz  09   -37.77592 0.00037 0.4409 0.0087   -37.80194 0.00021 0.4499 0.0028   -37.80107 0.00035 0.4512 0.0068   -37.80187 0.00035 0.460  0.016    -37.80931 0.00037 0.5217 0.0046
C   cc-pvtz  10   -37.77144 0.00037 0.4407 0.0072   -37.80201 0.00021 0.4499 0.0033   -37.80207 0.00035 0.460  0.018    -37.80191 0.00034 0.4531 0.0093   -37.80923 0.00037 0.5277 0.0073
                                                                                                                                                                   
                                                                                                                                                                   
N   cc-pvtz  01   -54.53326 0.00050 0.978  0.017    -54.54557 0.00032 1.0046 0.0077   -54.54431 0.00049 0.994  0.012    -54.54540 0.00048 0.991  0.011    -54.55127 0.00053 1.175  0.062 
N   cc-pvtz  02   -54.52010 0.00050 0.970  0.018    -54.54503 0.00032 1.021  0.011    -54.54445 0.00050 1.001  0.017    -54.54448 0.00048 0.989  0.010    -54.55246 0.00053 1.138  0.012 
